"BehaviorSpace results (NetLogo 6.2.0)"
"lab2_5.nlogo"
"experiment"
"04/16/2021 13:50:39:315 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","%-similar-wanted","[step]","percent-similar"
"122","30","15","72.18896618670118"
"121","30","13","71.52553329023917"
"124","30","8","72.62406746675316"
"121","30","14","71.56244950719017"
"124","30","9","73.04883985072205"
"126","30","0","49.95120364346129"
"124","30","10","73.38199513381996"
"125","30","1","58.87607601104434"
"126","30","1","59.42857142857143"
"127","30","0","48.76823338735819"
"125","30","2","63.007004398110446"
"124","30","11","73.65434500648509"
"127","30","1","57.968419339085145"
"125","30","3","66.3849154746424"
"124","30","12","73.80025940337225"
"125","30","4","68.01882200227162"
"127","30","2","63.19138521781693"
"124","30","13","73.80450640298265"
"125","30","5","69.14582656706723"
"124","30","14","73.80450640298265"
"127","30","3","66.34034915973241"
"125","30","6","69.85878915760428"
"124","30","15","73.82071648565407"
"125","30","7","70.26939305420318"
"124","30","16","73.82071648565407"
"127","30","4","68.23280767354902"
"125","30","8","70.66645046213719"
"126","30","2","64.01107852720756"
"124","30","17","73.79679144385027"
"124","30","18","73.88978930307941"
"126","30","3","66.29322942036045"
"127","30","5","70.00489316587833"
"125","30","9","70.85899513776337"
"126","30","4","68.60106986545631"
"127","30","6","70.73687642647538"
"125","30","10","70.86371738778155"
"126","30","5","69.72700682482937"
"127","30","7","71.20717781402936"
"125","30","11","70.88464031108231"
"127","30","8","71.59127888057273"
"126","30","6","70.20826553856166"
"128","30","0","50.40039222095114"
"129","30","0","48.80991196609064"
"127","30","9","71.81404421326398"
"126","30","7","70.35110533159948"
"127","30","10","72.08583970086165"
"129","30","1","57.55955274671852"
"126","30","8","70.59014794342383"
"127","30","11","72.06240858117991"
"129","30","2","63.322528363047006"
"128","30","1","58.77949552481693"
"126","30","9","70.63892050073159"
"127","30","12","72.06240858117991"
"129","30","3","66.55301185257348"
"128","30","2","62.999185004074974"
"126","30","10","70.6178861788618"
"129","30","4","69.40565118544983"
"128","30","3","66.15784345566742"
"127","30","13","72.074122236671"
"126","30","11","70.6178861788618"
"129","30","5","70.41659912465553"
"127","30","14","72.11116528522672"
"128","30","4","68.0589282823377"
"126","30","12","70.68769305803934"
"129","30","6","71.44018205461639"
"128","30","5","69.11003236245955"
"129","30","7","71.86435177673212"
"131","30","0","50.048812235600394"
"130","30","0","50.22793878215565"
"129","30","8","72.19155844155844"
"130","30","1","58.68185516680228"
"131","30","1","58.18951481602084"
"129","30","9","72.46353322528363"
"128","30","6","69.8371755602128"
"129","30","10","72.82731833630038"
"130","30","2","63.1484794275492"
"131","30","2","62.785760940561715"
"128","30","7","70.01934235976789"
"129","30","11","73.03770836704967"
"128","30","8","70.75258397932816"
"129","30","12","73.12732567545704"
